+1 1:0.000000 2:0.099028 3:0.417313 4:0.135076 5:0.366888 6:0.313924 7:0.000000 8:0.211716 9:1.283949 
+1 1:0.124039 2:0.039090 3:0.288276 4:0.479874 5:0.157990 6:0.413058 7:0.039918 8:0.000000 9:1.301311 
+1 1:0.000000 2:0.037135 3:0.469476 4:0.151960 5:0.450272 6:0.274684 7:0.037922 8:0.119091 9:1.294158 
+1 1:0.244405 2:0.000000 3:0.347760 4:0.371458 5:0.133414 6:0.418566 7:0.033708 8:0.000000 9:1.230974 
+1 1:0.000000 2:0.079575 3:0.419175 4:0.189950 5:0.321623 6:0.308319 7:0.027087 8:0.198484 9:1.201676 
+1 1:0.224453 2:0.000000 3:0.319372 4:0.341136 5:0.214415 6:0.352364 7:0.092869 8:0.000000 9:1.239146 
+1 1:0.000000 2:0.121258 3:0.351309 4:0.186074 5:0.336939 6:0.320331 7:0.000000 8:0.226839 9:1.242231 
+1 1:0.139660 2:0.066018 3:0.208656 4:0.472765 5:0.266828 6:0.348804 7:0.000000 8:0.035286 9:1.206951 
+1 1:0.032732 2:0.000000 3:0.391230 4:0.221608 5:0.531572 6:0.196203 7:0.031601 8:0.132322 9:1.203981 
+1 1:0.117838 2:0.000000 3:0.391230 4:0.379901 5:0.112568 6:0.510127 7:0.037922 8:0.000000 9:1.335486 
+1 1:0.000000 2:0.036229 3:0.534363 4:0.111191 5:0.366074 6:0.382834 7:0.000000 8:0.116186 9:1.338802 
+1 1:0.127392 2:0.000000 3:0.380656 4:0.410703 5:0.081130 6:0.381799 7:0.163985 8:0.000000 9:1.213692 
+1 1:0.000000 2:0.160585 3:0.380656 4:0.082141 5:0.405650 6:0.381799 7:0.000000 8:0.128746 9:1.214002 
+1 1:0.142834 2:0.045012 3:0.331953 4:0.414437 5:0.136446 6:0.428078 7:0.045966 8:0.000000 9:1.242787 
+1 1:0.000000 2:0.042440 3:0.447120 4:0.130251 5:0.428830 6:0.313924 7:0.043338 8:0.136103 9:1.241964 
+1 1:0.133716 2:0.126417 3:0.332962 4:0.452647 5:0.191606 6:0.300565 7:0.000000 8:0.000000 9:1.543634 
